Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen
2,3,24653,23127,24653,13316,21570,18815
2,3,10253,24708,10253,5302,2842,2612
1,3,1020,9490,1020,3688,3007,21632
2,3,5876,2216,5876,1041,13567,29729
1,3,18601,5226,18601,314,2405,1502
2,3,7780,23596,7780,751,8280,688
1,3,17546,950,17546,436,19172,29955
1,3,5567,6089,5567,1226,2405,15168
1,3,3127,5838,3127,5417,7647,4591
1,3,26373,16767,26373,13779,11924,56159
1,3,22647,1393,22647,6137,2201,3
2,3,16165,39694,16165,8590,6114,529
2,3,9898,2062,9898,35942,3558,12034
1,3,14276,6861,14276,7823,17645,301
1,3,4113,11364,4113,9396,15218,1202
2,3,43088,15538,43088,4760,4720,610
1,3,18815,36486,18815,85,2083,7818
1,3,2612,2046,2612,9,514,3537
1,3,21632,15205,21632,19913,367,550
2,3,29729,1390,29729,2446,894,3837
2,3,1502,1382,1502,8352,680,40827
1,3,688,10646,688,1670,2701,20070
2,3,2995,2856,2995,18291,9061,1579
2,3,15168,5265,15168,4420,1169,165
2,3,4591,1499,4591,19899,1760,454
1,3,56159,4157,56159,8190,3366,69
1,3,24025,9212,24025,20398,128,627
1,3,19176,1563,19176,717,490,18906
1,1,1080,572,1080,12205,257,71
2,1,630,2501,630,10766,951,5038
2,1,9670,5615,9670,1640,40254,223
2,1,5181,3828,5181,7005,7149,3874
2,1,3103,3838,3103,219,15354,54
1,1,444,3316,444,1032,1626,56
2,1,11519,3833,11519,20874,427,215
1,1,4967,2824,4967,11867,2708,8035
2,1,6269,3047,6269,16117,6022,6766
1,1,3347,593,3347,2225,2838,4573
1,1,407,585,407,43265,3996,1480
1,1,491,3779,491,7864,21273,1491
1,1,2779,7041,2779,24904,7588,139
1,1,5264,2475,5264,11405,1908,6830
2,1,4098,2914,4098,12754,8090,8969
2,1,5417,5119,5417,9198,6758,2505
1,1,13779,10817,13779,1314,444,836
1,1,6137,13916,6137,5626,164,169
2,1,8590,1777,8590,3,5283,6457
1,1,35942,489,35942,23,2886,483
1,1,7823,2406,7823,403,259,585
1,1,9396,2070,9396,503,161,118
2,1,4760,1799,4760,9658,9763,276
2,1,85,33586,85,1194,1222,310
1,1,9,4740,9,1420,8053,319
2,1,19913,16966,19913,2932,258,411
2,1,2446,4748,2446,56082,1032,266
2,1,8352,1495,8352,14100,5007,174
1,1,1670,5249,1670,15587,8323,264
1,1,18291,1883,18291,1454,3045,25
1,1,4420,2124,4420,8797,1703,1976
1,1,19899,7336,19899,1531,1610,500
1,1,8190,2157,8190,1406,3749,778
2,1,20398,1094,20398,11818,829,349
1,1,717,1677,717,12579,2317,2386
2,1,12205,6684,12205,19046,6200,1062
1,1,10766,15445,10766,14438,2884,410
2,1,1640,13699,1640,18044,7108,395
1,1,7005,4400,7005,11134,3965,70
1,1,219,1420,219,11173,3613,955
1,1,1032,287,1032,6990,4411,256
2,3,20874,3095,20874,20049,640,47
2,3,11867,294,11867,8258,2247,199
2,3,13146,397,16117,17160,2102,2447
1,3,31714,134,2225,4020,594,721
1,2,21217,839,43265,12212,286,249
1,2,24653,2205,32114,11170,2160,637
2,2,10253,669,8117,36050,3354,960
2,2,1020,1066,4042,76237,3086,51
2,2,5876,3383,5330,19219,11103,20
2,2,18601,9408,1638,21465,2013,399
1,2,7780,5154,2530,140,1897,516
2,2,17546,2915,32034,2312,1304,12591
1,2,5567,201,2062,7149,3199,73
1,2,31276,3151,11323,2101,4560,1082
2,2,26373,485,6252,1403,879,283
2,2,22647,1158,8118,9434,6243,113
2,2,16165,1200,610,7388,13316,170
2,2,9898,1148,778,6300,5302,255
2,2,14276,2088,1909,4625,3688,352
2,2,4113,266,12144,3087,7460,302
1,2,43088,6130,16267,13537,12939,7
2,2,18815,425,7677,5387,12867,11577
1,2,2612,7561,8906,17623,2374,6694
2,2,21632,9568,3445,3039,1020,811
1,2,29729,7684,3970,37036,20655,4004
2,2,1502,4221,10704,10405,1492,8077
1,2,688,7198,14886,18827,2335,4424
1,2,29955,5126,6981,2209,3737,3
2,2,15168,6975,28986,7769,24171,232
2,2,4591,9426,1694,9203,5121,13726
2,2,56159,6192,17569,5924,13583,3674
1,2,24025,188,2469,31812,609,7108
1,2,19176,12974,1733,16225,1538,4973
2,3,10850,4523,2000,1289,2587,1680
1,3,630,11757,2988,531,5611,79
1,3,9670,1982,3355,3001,204,526
1,3,5181,1201,5380,779,2024,434
1,3,3103,3821,2362,75,17740,1440
1,3,44466,1212,2147,233,7572,1067
1,3,11519,2933,3412,317,227,1774
1,3,4967,100,1498,3378,3084,184
1,3,6269,9464,245,930,4095,1627
1,3,3347,4602,8814,398,26701,8
1,3,40721,2010,2961,824,4074,2153
1,3,491,4469,7102,1092,7677,3182
1,3,27329,2201,1658,2665,1275,418
1,3,5264,4100,10685,2367,18664,1682
1,3,4098,776,3823,2540,5878,303
1,3,5417,503,1510,4425,2872,2157
1,3,13779,405,699,993,607,2233
2,3,6137,712,314,405,1601,610
1,3,8590,314,2479,1393,997,446
1,3,35942,468,1235,2399,873,238
1,3,7823,3105,2174,1116,6128,2379
2,3,9396,447,2591,651,2217,3637
1,3,4760,342,7030,333,894,693
1,3,85,558,8282,937,1196,429
1,3,9,296,5034,2515,337,750
1,3,19913,2235,3343,52,3944,323
1,3,2446,4563,7305,7368,1887,6250
1,3,8352,3281,5189,1752,3801,707
1,3,16705,12400,8253,201,6257,716
1,3,18291,6633,1096,443,2256,1442
1,3,4420,3417,1988,520,1450,1697
2,3,19899,8552,34792,526,9345,230
2,3,8190,10908,2177,434,1428,2631
2,3,20398,11055,2707,1440,582,395
2,3,717,18622,542,1067,935,2165
2,3,12205,2223,1651,1774,1238,2794
2,3,10766,13227,1765,184,2128,8550
2,3,43088,9053,2022,1627,5091,156
1,3,18815,4172,3135,845,4604,47943
1,3,2612,4657,2368,2153,3444,11
2,3,21632,12232,137,3182,1167,247
2,3,29729,2593,19460,418,5026,727
1,3,1502,14316,14855,1682,18683,3
2,3,688,5429,2474,303,6407,404
2,3,29955,4910,9618,2157,6100,1856
2,3,15168,6964,14682,223,4563,64
1,3,4591,1172,12822,610,3281,84
2,3,56159,2602,283,446,12400,409
2,3,24025,6939,3810,238,6633,666
2,3,19176,7184,26870,2379,3417,1142
2,3,10850,2380,1550,3637,8552,1755
1,1,630,14641,1040,693,10908,2876
2,1,9670,1099,1824,429,11055,1468
2,1,5181,10044,1153,750,18622,697
2,1,3103,1106,3794,323,2223,347
2,1,44466,6264,2503,6250,13227,731
2,1,11519,7393,1397,707,9053,1681
2,1,4967,727,1409,716,4172,6854
1,1,6269,134,1721,1442,4657,18
2,1,3347,1275,1104,1697,12232,1328
1,1,40721,18664,2079,230,2593,710
2,1,491,5878,1404,2631,14316,285
1,1,27329,2872,1384,395,5429,120
2,1,5264,607,2406,2165,4910,806
1,1,4098,1601,1845,2794,3580,797
1,1,5417,997,1289,1730,16483,2100
1,1,13779,873,1027,6746,5160,2870
1,1,6137,6128,258,7683,4754,1775
1,1,8590,2217,22471,432,1409,1215
1,1,35942,894,1522,4686,1721,791
1,1,7823,1196,686,3242,1104,2388
1,1,9396,337,1060,453,2079,674
1,1,4760,3944,7418,5004,1404,1158
1,1,85,1887,1854,6422,1384,6372
1,1,9,3801,2544,3012,2406,130
1,2,19913,6257,89842,327,18,749
1,2,2446,2256,53103,6818,128,239
2,2,8352,1450,1037,982,1027,375
1,2,16705,9345,259,4324,258,1360
2,2,18291,1428,2005,61,22,659
2,2,4420,582,172,10155,1522,786
2,2,19899,935,555,2221,686,1553
1,2,8190,1238,5965,3975,1060,689
1,2,20398,2253,2410,1069,741,203
1,2,717,2564,211,2516,1854,980
1,2,12205,1047,1543,5500,254,2137
2,2,10766,578,9254,1120,898,490
2,2,1640,2398,656,529,531,834
1,2,7005,1970,806,4802,1037,7
2,2,219,2784,1117,744,259,2563
1,2,10362,610,11756,862,2005,295
1,2,20874,659,14278,4479,172,225
2,2,11867,572,297,16919,555,1215
2,2,16117,291,1233,5845,59,216
1,2,22925,710,3508,1293,2410,2253
2,2,43265,5121,1059,977,211,2564
1,2,7864,1693,1637,1093,1543,1047
2,2,24904,1391,51,5970,925,578
1,2,11405,3265,1625,10303,656,2398
2,2,12754,615,834,8692,806,1970
1,2,9198,373,1113,1042,1117,2784
1,2,11314,987,229,1619,117,610
1,2,5626,3321,573,8366,142,659
2,2,3,818,1092,848,297,697
1,3,23,548,5609,1388,1233,347
1,3,403,287,834,502,3508,731
1,3,503,655,522,2507,1059,1681
1,3,9658,411,1534,3838,1637,6854
1,3,11594,1265,739,902,51,18
1,3,1420,3636,1043,909,1625,1328
1,3,2932,2563,1102,417,834,710
2,3,56082,3628,2602,3045,1113,285
1,3,14100,698,1215,1455,229,120
1,3,15587,204,3486,934,573,806
1,3,1454,56,2139,264,1092,797
1,3,8797,1550,778,824,5609,2100
1,3,1531,1040,868,1809,834,2870
1,3,1406,1824,550,364,522,1775
1,3,11818,1153,1942,492,1534,1215
1,3,12579,379,1371,617,739,791
2,3,19046,2503,2158,799,1043,2388
1,3,14438,139,1328,1840,1102,674
2,3,18044,1409,37,1149,2602,1158
2,1,11134,1721,379,416,1215,6372
2,1,6532,1104,303,1465,3486,130
1,1,28540,2079,1115,12569,2139,749
1,1,2067,1404,1022,3046,778,239
1,1,3655,1384,665,1274,868,375
1,1,3009,2406,445,4447,550,1360
2,1,14403,1889,995,1483,1942,659
2,1,11009,128,3137,662,1371,786
1,1,1783,1027,1951,2679,2158,1553
2,1,4814,258,1111,978,1328,689
1,1,92780,4500,2341,2121,37,203
1,1,32114,1522,127,1128,379,980
2,1,8117,686,5485,514,303,2137
2,1,4042,1060,11014,2714,1115,490
1,1,5330,7415,4100,3703,1022,834
2,1,1638,1854,7766,915,665,7
1,3,2530,254,5038,2369,445,2563
2,3,32034,898,4057,60869,9345,295
1,3,2062,531,7121,3498,1428,225
2,3,11323,1037,3144,414,582,1215
1,3,6252,259,4683,7849,935,216
1,3,8118,2005,3105,5127,1238,2253
1,3,610,1724,4477,3570,2128,2564
2,3,778,555,342,1234,5091,1047
1,3,1909,5998,5580,2208,4604,578
1,3,12144,2410,2963,131,3444,2398
1,3,16267,2117,2235,11559,1167,1970
1,3,7677,1543,79041,1365,5026,20782
1,3,8906,9256,4829,650,18683,4042
1,3,3445,6564,3113,8170,6407,1869
1,3,3970,8067,6867,15601,6100,8656
2,3,10704,4239,4456,9584,4563,11072
1,3,14886,862,17063,388,3281,2344
1,3,6981,6506,26400,767,12400,25962
1,3,28986,6956,17565,349,6633,964
1,3,1694,212,16980,1456,3417,15603
2,2,17569,1145,11243,2234,8552,1838
1,2,2469,2575,13134,402,10908,8635
1,2,1733,6899,31012,2693,11055,18692
2,2,2000,9529,3047,2809,18622,7363
1,2,2988,4618,8607,1341,2223,47493
1,2,3355,7353,3097,2005,13227,22096
2,2,5380,6792,8533,1796,9053,24929
1,2,2362,24171,21117,1741,4172,18226
1,2,2147,5121,1982,830,4657,11210
2,2,3412,13583,16731,228,12232,6202
1,2,1498,609,29703,6386,2593,3062
1,2,245,1538,39228,245,14316,8885
1,2,8814,2587,14531,3157,5429,5249
1,2,2961,5611,10290,137,4910,1883
1,2,7102,204,2787,6114,3580,2124
1,2,1658,2024,2028,340,16483,7336
1,2,10685,17740,20521,2601,5160,2157
1,2,3823,7572,1997,1206,4754,1094
1,2,1510,227,22294,560,1493,1677
1,2,699,3084,1533,191,7994,6684
1,2,314,4095,21203,1103,16027,15445
1,2,2479,26701,2548,1619,764,13699
1,2,1235,4074,2012,1173,30243,22182
1,2,2174,7677,218,1457,2232,2576
1,2,2591,1247,22272,2046,2510,19847
1,2,7030,24231,1660,1089,3620,1138
2,2,8282,3468,2109,1364,1916,975
1,2,5034,5141,2006,8164,848,1563
1,2,3343,788,864,876,1530,6869
1,2,7305,656,2453,1504,1181,1493
1,2,5189,116,4438,1492,2761,1841
1,2,8253,4173,1524,597,4180,223
1,2,4446,1321,8025,5641,6730,6964
1,2,27167,764,1664,1034,865,683
1,2,26539,1901,534,282,1316,2543
1,2,25606,3456,2406,130,11991,9694
1,2,18073,529,683,3881,1666,2431
2,2,6884,12034,4955,9927,1032,6235
1,2,25066,301,1939,2540,577,4252
1,2,7362,1202,1641,4006,906,2013
1,2,8257,610,7398,3635,2801,12609
1,3,8708,7818,1668,2583,4753,3600
1,3,6633,3537,1162,1945,11006,1242
1,3,2126,5508,13586,1960,4613,2828
1,3,97,3837,2648,1677,1046,1296
1,3,4983,40827,1902,3019,5010,471
1,3,5969,20070,10391,5502,12844,2642
1,3,7842,1579,2146,907,3880,3261
1,3,4389,1656,1617,659,3634,4329
1,3,5065,454,8469,8620,2096,12469
2,3,660,6984,3450,1398,3289,6550
1,3,8861,627,15400,2921,4006,5234
2,3,4456,18906,1614,2644,3635,3643
1,3,17063,71,2857,6838,2583,6986
2,3,3842,5038,1573,5390,1945,9965
1,3,3204,223,1172,1601,1960,2060
1,3,1263,3874,1422,3576,1677,6360
1,3,9345,54,1328,13223,3019,20399
1,3,1428,56,2313,220,5502,9785
1,3,582,215,1206,127,13537,13829
1,3,935,8035,560,4324,11002,24773
1,3,1238,9794,191,2069,3157,8852
1,3,2128,3450,1103,9806,12356,21570
1,3,5091,6532,1619,2854,112151,2842
1,1,4604,28540,1173,1646,694,3007
2,1,3444,2067,1457,2349,36847,13567
1,1,1167,3655,2046,1389,327,2405
2,1,5026,3009,1089,1535,8170,8280
1,1,18683,14403,1364,98,3009,19172
1,1,6407,11009,8164,17866,2438,2405
2,1,6100,1783,8763,5679,8040,7647
2,1,4563,4814,1504,1691,834,11924
2,1,3281,92780,1492,848,16936,2201
2,1,12400,32114,5970,364,13624,6114
2,1,6633,8117,5641,133,5509,3558
